CCTV频道,#genre#
CCTV1,http://bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2024078203.m3u8
CCTV1,http://bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2024117403.m3u8
CCTV2,http://bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2024075403.m3u8
CCTV3,http://bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2024068503.m3u8
CCTV4,http://bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2024078303.m3u8
CCTV4K,http://bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2024081303.m3u8
CCTV5,http://bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2024078403.m3u8
CCTV5+,http://bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2024078003.m3u8
CCTV6,http://bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2024086203.m3u8
CCTV7,http://bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2024072003.m3u8
CCTV8,http://bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2024078503.m3u8
CCTV9,http://bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2024078603.m3u8
CCTV10,http://bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2024078703.m3u8
CCTV11,http://bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2024078803.m3u8
CCTV12,http://bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2024078903.m3u8
CCTV13,http://bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2024079003.m3u8
CCTV13,http://bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2024123103.m3u8
CCTV14,http://bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2024079103.m3u8
CCTV15,http://bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2024079203.m3u8
CCTV16,http://bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2024079303.m3u8
CCTV16,http://bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2024083703.m3u8
CCTV17,http://bkbktlivecloud-cdn.ysp.cctv.cn/ysp/2024079503.m3u8
CCTV1,http://tvbox6.com/tv/ysp.php?id=1
CCTV2,http://tvbox6.com/tv/ysp.php?id=2
CCTV3,http://tvbox6.com/tv/ysp.php?id=3
CCTV4,http://tvbox6.com/tv/ysp.php?id=4
CCTV5,http://tvbox6.com/tv/ysp.php?id=5
CCTV5+,http://tvbox6.com/tv/ysp.php?id=6
CCTV6,http://tvbox6.com/tv/ysp.php?id=7
CCTV6,http://tvbox6.com/tv/ysp.php?id=8
CCTV7,http://tvbox6.com/tv/ysp.php?id=9
CCTV8,http://tvbox6.com/tv/ysp.php?id=10
CCTV9,http://tvbox6.com/tv/ysp.php?id=11
CCTV10,http://tvbox6.com/tv/ysp.php?id=12
CCTV11,http://tvbox6.com/tv/ysp.php?id=13
CCTV12,http://tvbox6.com/tv/ysp.php?id=14
CCTV13,http://tvbox6.com/tv/ysp.php?id=15
CCTV14,http://tvbox6.com/tv/ysp.php?id=16
CCTV15,http://tvbox6.com/tv/ysp.php?id=17
CCTV16,http://tvbox6.com/tv/ysp.php?id=18
CCTV16,http://tvbox6.com/tv/ysp.php?id=19
CCTV17,http://tvbox6.com/tv/ysp.php?id=20
CCTV4K,http://tvbox6.com/tv/ysp.php?id=21
CCTV8K,http://tvbox6.com/tv/ysp.php?id=22
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV1,http://124.205.11.238:91/live/CCTV1hd-8M/live.m3u8
CCTV2,http://124.205.11.246:91/live/CCTV2hd-8M/live.m3u8
CCTV3,http://124.205.11.238:91/live/CCTV3hd-8M/live.m3u8
CCTV4,http://118.144.105.51:91/live/CCTV4hd-8M/live.m3u8
CCTV5,http://124.205.11.199:91/live/CCTV5hd-8M/live.m3u8
CCTV5,http://124.205.11.205:91/live/CCTV5+hd-8M/live.m3u8
CCTV6,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8
CCTV6,http://118.144.105.51:91/live/CCTV6hd-8M/live.m3u8
CCTV7,http://124.205.11.199:91/live/CCTV7hd-8M/live.m3u8
CCTV8,http://124.205.11.246:91/live/CCTV8hd-8M/live.m3u8
CCTV9,http://124.205.11.246:91/live/CCTV9hd-8M/live.m3u8
CCTV10,http://124.205.11.238:91/live/CCTV10hd-8M/live.m3u8
CCTV11,http://124.205.11.238:91/live/CCTV11hd-8M/live.m3u8
CCTV12,http://124.205.11.199:91/live/CCTV12hd-8M/live.m3u8
CCTV13,http://124.205.11.199:91/live/CCTV13hd-8M/live.m3u8
CCTV14,http://118.144.105.55:91/live/CCTV14hd-8M/live.m3u8
CCTV15,http://124.205.11.205:91/live/CCTV5+hd-8M/live.m3u8
CCTV16,https://mtv.wuzhij.com/cctv16.php?id=16
CCTV16,http://124.205.11.246:91/live/CCTV16hd-8M/live.m3u8
CCTV17,http://124.205.11.203:91/live/CCTV17hd-8M/live.m3u8
CCTV兵器科技,http://tvbox6.com/tv/ysp.php?id=23
CCTV第一剧场,http://tvbox6.com/tv/ysp.php?id=24
CCTV怀旧剧场,http://tvbox6.com/tv/ysp.php?id=25
CCTV风云剧场,http://tvbox6.com/tv/ysp.php?id=26
CCTV风云音乐,http://tvbox6.com/tv/ysp.php?id=27
CCTV风云足球,http://tvbox6.com/tv/ysp.php?id=28
CCTV电视指南,http://tvbox6.com/tv/ysp.php?id=29
CCTV女性时尚,http://tvbox6.com/tv/ysp.php?id=30
CCTV央视文化精品,http://tvbox6.com/tv/ysp.php?id=31
CCTV世界地理,http://tvbox6.com/tv/ysp.php?id=32
CCTV高尔夫网球,http://tvbox6.com/tv/ysp.php?id=33
CCTV央视台球,http://tvbox6.com/tv/ysp.php?id=34
CCTV卫生健康,http://tvbox6.com/tv/ysp.php?id=35
CGTN,http://tvbox6.com/tv/ysp.php?id=36
CGTN纪录,http://tvbox6.com/tv/ysp.php?id=37
CGTN西语,http://tvbox6.com/tv/ysp.php?id=38
CGTN法语,http://tvbox6.com/tv/ysp.php?id=39
